  No;Problem;                                                                            ;;
 205;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.5.intohylo;                   0.13; Unsat;
 206;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.6.intohylo;                   2.70; Unsat;
 207;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.7.intohylo;                   1.12; Unsat;
 208;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.8.intohylo;                   0.49; Unsat;
 209;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.1.intohylo;                  87.96; Unsat;
 210;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.2.intohylo;                 150.82; Unsat;
 211;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.3.intohylo;                 147.89; Unsat;
 212;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.4.intohylo;                 129.08; Unsat;
 213;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.5.intohylo;                 231.12; Unsat;
 214;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.6.intohylo;                 203.66; Unsat;
 215;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.7.intohylo;                 663.54; Satis;
 216;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.8.intohylo;                  14.41; Unsat;
 217;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.1.intohylo;                TIMEOUT;      ;
 218;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.2.intohylo;                TIMEOUT;      ;
 219;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.3.intohylo;                TIMEOUT;      ;
 220;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.4.intohylo;                TIMEOUT;      ;
 221;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.5.intohylo;                TIMEOUT;      ;
 222;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.6.intohylo;                TIMEOUT;      ;
 223;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.7.intohylo;                TIMEOUT;      ;
 224;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.8.intohylo;                TIMEOUT;      ;
 225;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.1.intohylo;                TIMEOUT;      ;
 226;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.2.intohylo;                TIMEOUT;      ;
 227;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.3.intohylo;                TIMEOUT;      ;
 228;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.4.intohylo;                TIMEOUT;      ;
